accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location
2022010352725,2022,010352725,523175,184043,-0.225224,51.541855,1,3,2,1,03/01/2022,2,16:11,-1,E09000005,E09000005,6,0,6,30,0,-1,0,-1,0,0,1,1,1,0,0,1,1,2,E01000492
2022010352726,2022,010352726,515416,168661,-0.342075,51.405244,1,3,2,1,03/01/2022,2,14:20,-1,E09000027,E09000027,3,308,1,20,1,4,3,309,2,1,1,1,1,0,0,2,1,2,E01003823
2022010352727,2022,010352727,529144,179533,-0.140851,51.499992,1,2,2,1,03/01/2022,2,19:38,-1,E09000033,E09000033,4,323,6,30,6,2,3,3214,0,0,4,1,1,0,0,1,1,2,E01004736
2022010352729,2022,010352729,527668,175523,-0.163552,51.464289,1,3,3,1,03/01/2022,2,20:00,-1,E09000032,E09000032,6,0,6,30,3,4,3,3036,0,0,4,1,1,0,0,1,1,2,E01004588
2022010352730,2022,010352730,518913,188782,-0.28505,51.585359,1,3,2,2,03/01/2022,2,23:28,-1,E09000005,E09000005,3,4006,6,30,3,4,3,4006,0,0,4,1,1,0,0,1,1,2,E01000543
2022010352731,2022,010352731,520847,186277,-0.25801,51.562435,1,3,3,2,02/01/2022,1,20:14,-1,E09000005,E09000005,3,4088,6,30,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01000627
2022010352732,2022,010352732,536072,183160,-0.039704,51.530961,1,3,3,1,03/01/2022,2,23:15,-1,E09000030,E09000030,4,135,6,20,0,-1,0,-1,0,5,4,1,1,0,0,1,1,2,E01004230
2022010352734,2022,010352734,524559,173016,-0.209165,51.442451,1,2,1,1,04/01/2022,3,01:14,-1,E09000032,E09000032,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01004632
2022010352737,2022,010352737,529073,183694,-0.140351,51.537402,1,3,2,1,04/01/2022,3,05:17,-1,E09000007,E09000007,3,503,2,20,3,2,5,0,0,5,4,1,1,0,0,1,1,2,E01000947
2022010352741,2022,010352741,543987,187080,0.075928,51.564223,1,2,2,1,04/01/2022,3,07:36,-1,E09000026,E09000026,6,0,3,20,6,4,6,0,0,0,4,1,1,0,0,1,1,2,E01003787
2022010352742,2022,010352742,519123,179395,-0.285195,51.50095,1,3,2,1,04/01/2022,3,06:30,-1,E09000009,E09000009,3,406,3,40,6,2,4,4491,0,5,4,1,1,0,0,1,1,2,E01001231
2022010352752,2022,010352752,520434,179956,-0.266125,51.505715,1,3,1,1,04/01/2022,3,11:20,-1,E09000009,E09000009,6,0,6,20,0,-1,0,-1,0,1,1,2,2,0,0,1,1,2,E01001355
2022010352769,2022,010352769,531469,161352,-0.114112,51.336069,1,3,2,2,02/01/2022,1,11:05,-1,E09000008,E09000008,3,22,1,30,99,2,6,0,0,9,4,1,1,0,0,1,3,2,E01001097
2022010352781,2022,010352781,535240,185207,-0.050905,51.549555,1,3,2,1,01/01/2022,7,19:03,-1,E09000012,E09000012,3,102,9,20,99,9,6,0,0,1,4,1,1,0,0,1,3,2,E01001735
2022010352800,2022,010352800,530467,181678,-0.121009,51.518965,1,3,2,1,02/01/2022,1,14:30,-1,E09000007,E09000007,3,401,3,30,6,2,3,4200,0,5,1,1,2,0,0,1,3,2,E01000914
2022010352828,2022,010352828,534575,183231,-0.061245,51.531957,1,3,2,4,02/01/2022,1,05:25,-1,E09000030,E09000030,3,1208,7,20,3,4,5,0,9,9,4,2,9,0,0,1,3,2,E01004202
2022010352843,2022,010352843,530831,169088,-0.12042,51.405738,1,3,2,2,02/01/2022,1,20:00,-1,E09000008,E09000008,3,23,9,30,3,4,6,0,9,9,7,9,9,9,9,1,3,2,E01001090
2022010352848,2022,010352848,542598,183565,0.054479,51.532991,1,3,2,1,02/01/2022,1,16:05,-1,E09000025,E09000025,3,117,9,30,6,2,3,124,0,5,1,2,2,0,0,1,3,2,E01003523
2022010352849,2022,010352849,533476,184043,-0.076772,51.539515,1,3,2,1,03/01/2022,2,19:50,-1,E09000012,E09000012,3,10,6,20,3,4,6,0,9,9,4,1,1,0,0,1,3,2,E01001750
2022010352851,2022,010352851,534182,192813,-0.06325,51.618157,1,3,2,1,03/01/2022,2,15:15,-1,E09000010,E09000010,3,1010,3,30,3,4,6,0,9,1,1,1,1,0,0,1,3,2,E01001425
2022010352855,2022,010352855,555904,186163,0.247313,51.552819,1,3,2,1,02/01/2022,1,12:45,-1,E09000016,E09000016,4,1421,6,30,3,4,6,0,0,0,1,1,1,0,0,1,3,2,E01002390
2022010352859,2022,010352859,526861,187563,-0.170833,51.572673,1,3,4,1,02/01/2022,1,19:15,-1,E09000003,E09000003,4,519,6,20,3,2,5,0,0,0,6,2,2,5,0,1,3,2,E01002008
2022010352884,2022,010352884,523767,179870,-0.218157,51.504222,1,3,2,1,02/01/2022,1,17:20,-1,E09000013,E09000013,3,4020,2,20,1,2,3,402,0,5,4,1,1,0,0,1,3,2,E01001857
2022010352890,2022,010352890,540421,178713,0.021183,51.489937,1,3,2,1,03/01/2022,2,16:00,-1,E09000011,E09000011,3,2052,2,30,99,9,6,0,0,0,1,9,1,0,0,1,3,2,E01033738
2022010352897,2022,010352897,531020,165601,-0.11899,51.374358,1,2,1,1,04/01/2022,3,12:25,-1,E09000008,E09000008,3,23,3,30,6,2,6,0,0,5,1,2,2,0,0,1,1,2,E01001014
2022010352900,2022,010352900,530441,173450,-0.12442,51.445028,1,3,2,1,03/01/2022,2,22:10,-1,E09000022,E09000022,3,205,6,20,6,2,3,205,0,5,4,1,1,0,0,1,3,2,E01003137
2022010352903,2022,010352903,540617,181250,0.025015,51.512685,1,3,1,1,02/01/2022,1,01:00,-1,E09000025,E09000025,5,0,3,30,0,-1,0,-1,0,9,1,1,2,9,9,1,3,2,E01003517
2022010352919,2022,010352919,529819,181361,-0.13046,51.516265,1,3,2,1,03/01/2022,2,15:00,-1,E09000007,E09000007,3,400,9,20,6,2,3,40,9,1,1,1,1,0,0,1,3,2,E01004763
2022010352922,2022,010352922,531122,168235,-0.116554,51.398005,1,3,1,1,03/01/2022,2,19:42,-1,E09000008,E09000008,3,23,9,30,99,9,6,0,9,9,4,9,1,9,9,1,3,2,E01001183
2022010352927,2022,010352927,526929,180793,-0.172291,51.511817,1,3,2,1,01/01/2022,7,13:32,-1,E09000033,E09000033,3,402,6,20,3,2,3,402,0,9,1,1,1,4,9,1,3,2,E01004689
2022010352931,2022,010352931,519348,175811,-0.283165,51.468692,1,3,1,1,04/01/2022,3,14:37,-1,E09000027,E09000027,6,0,6,20,8,4,6,0,0,0,1,1,1,0,0,1,1,2,E01003848
2022010352934,2022,010352934,528729,179305,-0.146909,51.498037,1,3,2,1,04/01/2022,3,13:29,-1,E09000033,E09000033,3,302,2,20,6,4,3,3217,0,0,1,2,2,0,0,1,1,2,E01004731
2022010352938,2022,010352938,537889,180554,-0.014544,51.507103,1,3,3,1,03/01/2022,2,14:40,-1,E09000030,E09000030,3,1261,3,40,5,2,6,0,0,0,1,1,1,0,0,1,3,2,E01004277
2022010352943,2022,010352943,510973,184698,-0.400892,51.55027,1,3,1,1,04/01/2022,3,17:00,-1,E09000017,E09000017,3,4180,6,30,3,4,6,0,0,1,4,1,2,0,0,1,1,2,E01002499
2022010352951,2022,010352951,538033,180572,-0.012464,51.50723,1,3,1,1,04/01/2022,3,17:18,-1,E09000030,E09000030,3,1261,3,40,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01004277
2022010352953,2022,010352953,533539,181496,-0.076828,51.516612,1,3,2,1,04/01/2022,3,11:45,-1,E09000030,E09000030,3,1210,2,20,3,4,3,1210,0,0,1,2,2,0,0,1,3,2,E01004307
2022010352954,2022,010352954,512366,185930,-0.380416,51.561068,1,3,1,1,04/01/2022,3,17:14,-1,E09000015,E09000015,6,0,9,30,5,4,6,0,0,1,4,1,2,0,0,1,3,2,E01002214
2022010352955,2022,010352955,510199,173464,-0.415555,51.449451,1,3,1,1,04/01/2022,3,08:41,-1,E09000018,E09000018,4,3377,6,20,3,4,6,0,0,0,1,8,2,0,0,1,1,2,E01002590
2022010352956,2022,010352956,543860,183187,0.072507,51.529275,1,3,2,1,04/01/2022,3,17:55,-1,E09000025,E09000025,3,406,3,50,0,-1,0,-1,0,0,4,1,1,0,0,2,1,2,E01003535
2022010352967,2022,010352967,526281,172860,-0.184457,51.440668,1,3,2,1,04/01/2022,3,13:00,-1,E09000032,E09000032,6,0,6,20,0,-1,0,-1,0,9,1,2,2,0,0,1,3,2,E01004498
2022010352975,2022,010352975,523689,185390,-0.217343,51.553848,1,3,1,1,04/01/2022,3,17:35,-1,E09000005,E09000005,3,407,6,30,6,2,3,407,0,5,4,1,1,0,0,1,1,2,E01000557
2022010352979,2022,010352979,544494,183053,0.081585,51.527909,1,2,1,1,04/01/2022,3,19:10,-1,E09000002,E09000002,3,13,3,50,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01000092
2022010352981,2022,010352981,530186,191193,-0.121536,51.604536,1,3,2,1,04/01/2022,3,11:00,-1,E09000014,E09000014,6,0,6,20,99,9,6,0,9,9,1,2,2,0,0,1,3,2,E01001970
2022010352985,2022,010352985,533391,189052,-0.076098,51.584547,1,3,3,1,04/01/2022,3,07:00,-1,E09000014,E09000014,3,504,6,20,9,2,6,0,0,0,4,1,1,0,0,1,1,2,E01002069
